alumno.pret;sexo.pret;coleg.pret;curso.pret;grup.pret;pais.pret;ren.mat.pret;ren.leng.pret;ECE1.pret;ECE2.pret;ECE3.pret;ECE4.pret;ECE5.pret;ECE6.pret;ECE7.pret;ECE8.pret;ECE9.pret;ECE10.pret;ECE11.pret;ECE12.pret;ECE13.pret;ECE14.pret;ECE15.pret;ECE16.pret;ECE17.pret;ECE18.pret;ECE19.pret;IEA1.pret;IEA2.pret;IEA3.pret;IEA4.pret;IEA5.pret;IEA6.pret;IEA7.pret;IEA8.pret;IEA9.pret;IEA10.pret;IEA11.pret;IEA12.pret;IEA13.pret;IEA14.pret;IEA15.pret;IEA16.pret;IEA17.pret;IEA18.pret;IEA19.pret;IEA20.pret;IEA21.pret;IEA22.pret;IEA23.pret;IEA24.pret;IEA25.pret;IEA26.pret;IEA27.pret;IEA28.pret;PRE_Emotion_Engage;PRE_Cognitive_Engage;PRE_Behavior_Engage;PRE_Enviroment_Manage;PRE_Information_help_Manage;PRE_Maladapative_Behavior;PRE_Time_Manage;PRE_ENG_EMOC;PRE_ENG_COGN;PRE_ENG_COND;ZPRE_ENG_EMOC;ZPRE_ENG_COGN;ZPRE_ENG_COND;LPA_4perfiles;LPA_3perfiles;Gestión_Entorno;Gestión_Tiempo;Desadaptativo;Gesti_Infor;enviroment_manag;time_manag;maladaptative_behavior;informati_manag
23;2;13;5;1;1;4;4;4;3;5;5;4;5;4;4;1;2;4;5;3;2;1;4;4;5;4;3;4;5;3;5;4;5;4;5;1;3;2;3;3;4;4;5;4;1;1;1;3;2;4;4;1;5;2;,0192140554055129;,479183493118021;,996833776126325;-,991111108562742;,2196323999461;-1,33956822673154;1,32920528667647;4;3,28571428571429;5;,428303071993022;,478740076987457;1,32295142307639;4;1;-,906628581901132;,485994164578784;-,677998554521235;,476046367623385;3,4;3,88888888888889;1,71428571428571;4,14285714285714
24;2;13;5;1;1;4;4;1;4;5;4;3;2;4;3;1;3;3;4;5;4;1;3;4;4;4;4;5;5;3;4;3;4;3;3;2;2;1;4;3;3;5;5;4;1;2;4;4;2;4;4;2;4;3;-,201883224362481;-,167602545235869;-,0193907421603044;,729252710876097;-,126821664208052;-,162011039623317;,0344603448897742;3,4;3;3,75;-,230273971025901;,108312234612546;-,671975326007045;3;2;,514536811400641;-,150272271706323;,041182486614264;,0484983732495166;4,4;3,55555555555556;2;3,85714285714286
25;1;13;5;1;1;4;4;1;1;4;3;3;2;4;2;1;1;1;3;1;2;4;1;2;3;1;2;4;5;5;1;1;2;5;1;3;1;1;2;4;5;5;5;2;1;3;5;3;1;5;5;4;4;5;-,530903529844257;-1,48683035822911;-1,73027225838897;-,704174414842881;1,97347565337666;,692428481333572;-,831271961519335;2,4;1,42857142857143;3;-1,32790237605744;-1,92904089844946;-1,86893137545711;1;3;-,959592267376771;-,0935405698770375;,120976786771794;1,13478417485604;3,6;3,44444444444444;2,14285714285714;4,28571428571429
1;2;13;5;2;1;4;4;3;4;5;5;3;4;4;2;1;2;3;3;5;3;1;2;3;5;3;4;5;5; ;5;5;5;4;5;1;3;1;1;3;2;5;5;3;1;1;3;4;1;5;5;1;5;4;-1,04501441934412;-,17171825406571;1,10523807528931;,367735654491444;-,369355402689705;-1,25340909089306;,858262050133654;2,8;2,85714285714286;4,75;-,888851014044823;-,0769016865749092;,923966073259706;3;2; ; ; ; ;4,4;4,44444444444444;1,28571428571429; 
2;1;13;5;2;1;4;4;3;4;5;5;2;2;3;2;1;3;4;2;3;2;1;3;3;4;5;4;5;4; ;5;4;2;3;1;1;5;1;1;3;2;5;5;3;3;2;2;2;1;5;4;2;4;4;-1,39258181205846;,173041417165095;,608530619497542;,982894566256978;-,580756303918116;,270406592859025;-,720832305148765;2,6;3;4;-1,10837669505113;,108312234612546;-,272989976190358;3;2; ; ; ; ;3,6;3,33333333333333;2,14285714285714; 
3;2;13;5;2;1;4;2;2;4;5;4;4;3;3;4;2;3;2;3;3;2;3;3;2;3;4;4;4;3; ;3;3;4;5;5;3;1;2;4;4;3;4;3;3;1;2;4;4;4;4;3;1;4;5;-,461850314031113;-,00978169909462902;-,487638247894174;-,303145105184149;-,564471714977306;,293064520479037;1,17135576618308;3,2;2,71428571428571;3,75;-,449799652032208;-,262115607762365;-,671975326007045;3;2; ; ; ; ;4;4;2; 
4;2;13;5;2;1;4;3;2;5;5;4;4;5;3;4;4;1;3;4;5;5;1;4;5;5;4;5;5;4;4;4;5;4;5;5;1;1;1;1;3;5;4;5;4;1;4;5;4;1;5;4;1;4;1;,242160964065538;1,08496037365878;,317182976924003;,0398753481742814;,592482234214631;,259417368341864;1,0101853557444;4;3,85714285714286;4,75;,428303071993022;1,21959576173728;,923966073259706;4;1;-,63691532893572;,550462792354739;-,248394671122296;1,43100910167528;4,6;4,11111111111111;1,42857142857143;4,28571428571429
5;2;13;5;2;1;5;5;2;4;4;4;4;5;5;3;2;3;2;2;4;4;1;3;5;4;3;4;4;5;3;5;3;1;5;5;2;1;1;1;3;3;5;5;5;1;2;1;3;1;4;4;1;2;4;,727502057599499;-,458938850535505;-,195784379495298;-,121921408099672;-,286048089086611;-,192377514117048;1,2762932814837;4;2,71428571428571;4,25;,428303071993022;-,262115607762365;,12599537362633;3;2;-1,32556199794848;,606485806768654;-1,31713590632314;,033122523218129;3;3,88888888888889;1,28571428571429;4,14285714285714
6;2;13;5;2;1;4;2;1;5;5;4;1;4;2;3;1;5;4;1;5;1;3;1;1;2;2;4;5;3;1;3;4;3;1;2;4;5;4;4;5;1;5;3;4;3;3;1;2;1;3;2;1;3;3;-2,23880704723563;-,64579253933498;,21383986002279;1,68203660382617;-1,75663434921054;2,02693292084468;-,63210705436775;1,6;2,14285714285714;3,75;-2,20600510008267;-1,00297129251219;-,671975326007045;2;3;,722894263586339;-1,58759811120434;1,47981290370791;-,752095663897595;3,6;2,66666666666667;3,42857142857143;3
7;1;13;5;2;1;5;5;1;5;4;4;3;5;4;3;1;3;5;4;5;4;1;4;5;4;3;4;5;5;1;4;4;2;5;1;2;5;2;5;4;5;5;4;2;2;1;4;5;2;4;5;1;3;5;,0688639044849511;,23193947092658;,39325909883634;,974161600324288;-,18961875248741;-,0429812042812466;-,666762710630335;3,8;3,28571428571429;4,25;,208777390986714;,478740076987457;,12599537362633;3;2;1,66295179108311;-,390014496249903;,450139657583623;-,800535811114261;4;3,77777777777778;2,57142857142857;3,85714285714286
