name,InDegree,OutDegree,Closeness_total,Betweenness,Eigen,Diffusion.degree,Coreness,Cross_clique_connectivity
104,6,15,0.000912408759124088,321.505021373187,0.0430348022117678,798,10,50
105,2,3,0.00099403578528827,25.2618418765788,0.0205745241664453,708,5,13
106,2,4,0.000805152979066023,10.8406570282715,0.0163664056363982,289,6,11
107,4,15,0.00101010101010101,241.370047319515,0.0356575372419515,891,11,44
108,0,4,0.000773395204949729,2.10909629599141,0.007011789561479,143,4,8
109,4,18,0.00102459016393443,954.99464778701,0.0967498756535528,980,11,39
110,2,2,0.000983284169124877,443.734769198883,0.0167843258569538,620,3,7
111,0,1,0.000686341798215511,0,0.000250169555106583,5,1,2
112,3,2,0.000984251968503937,227.075445794416,0.020257399620879,671,5,9
113,4,6,0.00099502487562189,61.1674898988763,0.0230728887104406,719,6,26
114,6,5,0.000892857142857143,29.9737396236887,0.0356927379222802,642,9,37
115,20,6,0.00103734439834025,1699.60772209441,0.092238829597786,985,13,42
116,32,3,0.00108932461873638,2890.6619280258,0.0563781883195404,1416,14,125
117,5,1,0.000798722044728434,19.7901474729112,0.020777903982554,314,6,14
118,1,5,0.000754716981132075,24.1764397442271,0.00481426082163358,94,5,7
119,5,2,0.00078003120124805,126.01351940068,0.00604115704655083,144,6,11
120,1,2,0.00098135426889107,440,0.015748763881736,620,2,5
121,1,10,0.00104166666666667,44.9144906824486,0.0630623146249221,1161,9,38
122,2,1,0.000753012048192771,8.99983224488856,0.00250606406254041,63,3,4
123,0,5,0.000765696784073507,482.675153421978,0.00442685761570563,100,3,6
124,0,2,0.000979431929480901,0,0.0157452651746932,618,2,4
125,0,1,0.000736377025036819,0,0.000840314136523462,36,1,2
